date,home_team,away_team,home_absence_severity,away_absence_severity,home_lineup_uncertainty,away_lineup_uncertainty,home_rotation_risk,away_rotation_risk,home_tactical_edge,away_tactical_edge,llm_confidence,absence_diff,lineup_uncertainty_diff,rotation_risk_diff,tactical_edge_diff,evidence_summary,source_quality,prompt_sha256,schema_sha256,source_sha256,model,generated_at_utc,response_id
2026-06-28,South Africa,Canada,0,2,0,2,0,1,0,1,0.5,2,2,1,-1,"South Africa have no concrete absences reported and low knockout rotation risk, while Canada regain Davies and Bombito but have Kone out and Eustaquio/Davies fitness or minutes uncertainty.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,68a764625bea2921ddf6dce280863d68a988c3d767d485540e359b6a7489b031,gpt-5.5,2026-06-28T14:28:05+00:00,resp_0e4ad32e2339fc7e006a412f7295bc819d84396e7c9c0db0e9
2026-06-29,Brazil,Japan,0,0,1,0,0,0,1,1,0.5,0,-1,0,0,"No concrete absences reported; knockout context lowers rotation risk, while Brazil have mild tactical/identity questions and Japan are described as tactically stable and high-pressing.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,e57688f7d061df407527386280ba48626ca49d5448e0e2796ce2a71e045653c8,gpt-5.5,2026-06-28T14:28:16+00:00,resp_0940740ab29f80d8006a412f7e4a1481a29e2bb0f6fb97e63e
2026-06-29,Germany,Paraguay,0,0,2,0,1,0,1,0,0.5,0,-2,-1,1,"Sources report no concrete injuries or suspensions; Germany have multiple debated XI slots and possible Musiala rest, while Paraguay has little team-specific information beyond low knockout rotation context.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,c2f09bf8c2d3ad5966deb0872a70621a03c0f855f963020c371470efd73d245f,gpt-5.5,2026-06-28T14:28:14+00:00,resp_039a90283470ada6006a412f755a2c819ea131743c7232679e
2026-06-29,Netherlands,Morocco,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"No concrete injury, suspension, expected XI, or matchup-plan details were found for either team; knockout context suggests low rotation risk, with only broad form/profile notes for both sides.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,5db604a990ebd40b014935da9f4dd8625a4611ebe3079f3084705fdb183146e6,gpt-5.5,2026-06-28T14:28:19+00:00,resp_0b9b284c457b0e10006a412f8107c881928bdf06b858141c8d
2026-06-30,France,Sweden,0,0,0,0,0,0,1,0,0.5,0,0,0,1,"No concrete injuries or lineup disputes reported for either side; knockout context lowers rotation risk, while sources note France's strong attacking form but give little Sweden-specific detail.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,a6dfbf6737db4735ac098379258c7084c6b4412fbd55a2132018e4265a5a26c2,gpt-5.5,2026-06-28T14:28:22+00:00,resp_019ed1e9d98d4ecc006a412f838b1081a198f6f56e097f6210
2026-06-30,Ivory Coast,Norway,0,0,0,1,0,0,0,1,0.5,0,1,0,-1,"No concrete Ivory Coast team news was found; Norway are expected to restore rested first-choice players, with Haaland reportedly set to play and noted as their central threat.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,f9edc2f9cef0bbe246210293e28826461bba722bbd4f04440e609b56e54979fc,gpt-5.5,2026-06-28T14:28:24+00:00,resp_046c024e2f697d24006a412f8669d08191b0369988f5c9c928
2026-06-30,Mexico,Ecuador,0,0,0,0,0,0,0,0,0.3,0,0,0,0,"No concrete injury, suspension, expected XI, or tactical matchup reporting was found; knockout context suggests low voluntary rotation, with only qualification-status notes available.",thin,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,68af78b70e9fda5abd1faebe2b71c66f5dfa85a00848490c7ecb6fdf3e219a80,gpt-5.5,2026-06-28T14:28:30+00:00,resp_00497785f168975b006a412f88ef6081a0b14a3086208b2422
2026-07-01,Belgium,Senegal,0,0,0,0,0,0,0,0,0.3,0,0,0,0,"No concrete injury, suspension, expected XI, or selection-dispute reporting was found; knockout context suggests low voluntary rotation, with only general notes on Belgium as group winners and Senegal defensive errors.",thin,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,42ceddf971e9ab633fbe4bbc828d752006427afb2d8f31d7de75ef36976161d5,gpt-5.5,2026-06-28T14:28:36+00:00,resp_0875018a6d56ae92006a412f8f040081a389ab1963ceb2755d
2026-07-01,England,DR Congo,2,0,2,0,0,0,0,0,0.5,-2,-2,0,0,"England have concrete defensive availability concerns at right-back and uncertainty around Declan Rice's fitness, while DR Congo team news is largely unavailable and knockout context lowers voluntary rotation risk for both teams.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,c2c5340767b162319921ad1b8a11d93c991e64af4e74d1bd309f89fff8612df5,gpt-5.5,2026-06-28T14:28:45+00:00,resp_09f56212a4fa86d5006a412f94dbec819f98f2e2b7cf41da63
2026-07-01,United States,Bosnia and Herzegovina,0,0,0,0,0,0,1,0,0.5,0,0,0,1,"Sources report no concrete absences or lineup disputes for either team; knockout context implies low rotation, with only mild USA tactical/form signal from group-top finish and fantasy picks.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,dcd6d4a7ca84d4b6b451b30e97cfe82c3c0168d2c3f66ede4a7579acb8dac89d,gpt-5.5,2026-06-28T14:28:48+00:00,resp_04240707d818ba33006a412f9daa0081a29d40b2f7d4a033d0
2026-07-02,Portugal,Croatia,0,0,0,0,0,0,0,0,0.3,0,0,0,0,"Sources confirm the knockout fixture and recent broad form notes, but provide no concrete absences, expected XIs, selection disputes, or tactical matchup edge for either team.",thin,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,25c8d14e5e6d33e59807003784ea9e0bc489d742aa9b4bd3bb385de22d73d790,gpt-5.5,2026-06-28T14:28:50+00:00,resp_08d7dd2304bff09e006a412fa075e8819e8cfec571990a7eb4
2026-07-02,Spain,Austria,3,0,2,0,1,0,0,0,0.5,-3,-2,-1,0,"Spain have multiple winger fitness issues including Pino likely out and Williams moderately injured, creating wide-role uncertainty; no concrete Austria team news was found and knockout context limits voluntary rotation.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,067c63c7bc045fbd04288c71735b69bc5ca2987beb9e922019feb7fe66f1adfe,gpt-5.5,2026-06-28T14:28:53+00:00,resp_0f9cf6ad71c617de006a412fa2c6ec819e92fa822aac972bb0
2026-07-02,Switzerland,Algeria,0,0,0,0,0,0,0,0,0.3,0,0,0,0,"Sources confirm the knockout fixture and qualification paths, but provide no concrete injury, suspension, expected XI, selection, or tactical details for either team; knockout context implies low voluntary rotation.",thin,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,22c14d9bd7e0647b8a2feac6519726868703787119fe7058c769e5b73241004a,gpt-5.5,2026-06-28T14:28:56+00:00,resp_0ba6d46b8130fb7f006a412fa5bdec81a0ad5080614e8c67c1
2026-07-03,Argentina,Cape Verde,0,0,0,0,0,0,1,0,0.5,0,0,0,1,"No concrete injury, suspension, or XI reports for either side; knockout context lowers rotation risk, while sources note Argentina topped their group and highlight Messi's form against debut knockout side Cape Verde.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,ed11cfdc246449dee75140590bd3d35ad6faad1ec00a630f9cd05f291cf12d28,gpt-5.5,2026-06-28T14:28:58+00:00,resp_0fa8c4f992ce0103006a412fa842fc81a195d1ca2ddd033ca3
2026-07-03,Australia,Egypt,2,3,1,2,0,1,0,1,0.5,1,1,1,-1,"Australia have reported injuries to key players Leckie and Italiano affecting wide options, while Egypt face a major Salah hamstring/minutes concern; knockout context limits voluntary rotation and tactical evidence is modest.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,5ee9fc4c2b311995dd30c6f0d3386f1c86d787d8ec384a14215497d158f36cea,gpt-5.5,2026-06-28T14:29:01+00:00,resp_0e031f739ef8d779006a412faafac0819ea10ee551a97d4912
2026-07-03,Colombia,Ghana,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"No concrete injury, suspension, or expected-XI reports for either team; knockout context implies low rotation, while form/tactical notes are general and not a specific matchup edge.",mixed,a2027b3a75c9264689c19d1a48f0d7ac699572205f69aea2f61084b93bd674c8,cc6a06919c0d7269796fee9dcf68e79851d42bb5b1795b583fcdde8e751928f7,e2ac4c47e1bd48fef7a5aee7e9444438e058aa20f6c5fdd535d1125236986308,gpt-5.5,2026-06-28T14:29:03+00:00,resp_03d5f427ac430c61006a412fad8e7c8191b1a6b282c9dc4501
